CITIES;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
LAKE CHARLES, LA;5,52;3,28;3,54;3,64;6,06;6,07;5,12;4,85;5,95;3,94;4,61;4,6
LANDER, WY;0,52;0,54;1,24;2,07;2,38;1,15;0,84;0,57;1,14;1,37;0,99;0,61
LANSING, MI;1,61;1,45;2,33;3,09;2,71;3,6;2,68;3,46;3,48;2,29;2,66;2,17
LAS VEGAS, NV;0,59;0,69;0,59;0,15;0,24;0,08;0,44;0,45;0,31;0,24;0,31;0,4
LEWISTON, ID;1,14;0,95;1,12;1,3;1,56;1,16;0,72;0,75;0,8;0,96;1,21;1,05
LEXINGTON, KY;3,34;3,27;4,41;3,67;4,78;4,58;4,8;3,77;3,11;2,7;3,44;4,03
LIHUE, HI;4,59;3,26;3,58;3;2,87;1,82;2,12;1,91;2,69;4,25;4,7;4,78
LINCOLN, NE;0,67;0,66;2,21;2,9;4,23;3,51;3,54;3,35;2,92;1,94;1,58;0,86
LITTLE ROCK, AR;3,61;3,33;4,88;5,47;5,05;3,95;3,31;2,93;3,71;4,25;5,73;4,71
LONG BEACH, CA;2,95;3,01;2,43;0,6;0,23;0,08;0,02;0,1;0,24;0,4;1,12;1,76
LOS ANGELES AP, CA;2,98;3,11;2,4;0,63;0,24;0,08;0,03;0,14;0,26;0,36;1,13;1,79
LOS ANGELES C.O., CA;3,33;3,68;3,14;0,83;0,31;0,06;0,01;0,13;0,32;0,37;1,05;1,91
LOUISVILLE, KY;3,28;3,25;4,41;3,91;4,88;3,76;4,3;3,41;3,05;2,79;3,8;3,69
LUBBOCK, TX;0,5;0,71;0,76;1,29;2,31;2,98;2,13;2,35;2,57;1,7;0,71;0,67
LYNCHBURG, VA;3,54;3,1;3,83;3,46;4,11;3,79;4,39;3,41;3,88;3,39;3,18;3,23
MACON, GA;5;4,55;4,89;3,14;2,98;3,54;4,32;3,79;3,26;2,37;3,22;3,93
MADISON, WI;1,25;1,28;2,28;3,35;3,25;4,05;3,93;4,33;3,08;2,18;2,31;1,66
MAJURO, PC;8,09;6,86;8,43;11,3;11,53;11,09;12,41;11,95;11,96;13,73;12,81;11,5
MANSFIELD, OH;2,63;2,17;3,36;4,17;4,42;4,52;4,22;4,6;3,44;2,68;3,76;3,26
MARQUETTE, MI;2,6;1,85;3,13;2,79;3,07;3,21;3,01;3,55;3,74;3,66;3,27;2,43
MCGRATH, AK;1,04;0,74;0,81;0,66;1,02;1,45;2,32;2,75;2,36;1,46;1,46;1,44
MEDFORD, OR;2,47;2,1;1,85;1,31;1,21;0,68;0,31;0,52;0,78;1,31;2,93;2,9
MEMPHIS, TN;4,24;4,31;5,58;5,79;5,15;4,3;4,22;3;3,31;3,31;5,76;5,68
MERIDIAN, MS;5,92;5,35;6,93;5,62;4,87;3,99;5,45;3,34;3,64;3,28;4,95;5,31
MIAMI, FL;1,88;2,07;2,56;3,36;5,52;8,54;5,79;8,63;8,38;6,19;3,43;2,18
MIDLAND-ODESSA, TX;0,53;0,58;0,42;0,73;1,79;1,71;1,89;1,77;2,31;1,77;0,65;0,65
MILFORD, UT;0,73;0,77;1,21;0,99;0,94;0,44;0,76;1,04;0,92;1,12;0,77;0,58
MILWAUKEE, WI;1,85;1,65;2,59;3,78;3,06;3,56;3,58;4,03;3,3;2,49;2,7;2,22
MINNEAPOLIS-ST.PAUL, MN;1,04;0,79;1,86;2,31;3,24;4,34;4,04;4,05;2,69;2,11;1,94;1
MISSOULA, MT;1,06;0,77;0,96;1,09;1,95;1,73;1,09;1,15;1,08;0,83;0,96;1,15
MOBILE, AL;5,75;5,1;7,2;5,06;6,1;5,01;6,54;6,2;6,01;3,25;5,41;4,66
MOLINE, IL;1,58;1,51;2,92;3,82;4,25;4,63;4,03;4,41;3,16;2,8;2,73;2,2
MONTGOMERY, AL;5,04;5,45;6,39;4,38;4,14;4,13;5,31;3,63;4,22;2,58;4,53;4,97
MOUNT SHASTA, CA;7,06;6,45;5,81;2,65;1,87;0,99;0,39;0,43;0,87;2,21;5,08;5,35
MT. WASHINGTON, NH;8,52;7,33;9,42;8,43;8,21;8,36;8,02;8,08;8,55;7,66;10,49;8,84
MUSKEGON, MI;2,22;1,58;2,36;2,91;2,95;2,58;2,32;3,77;3,52;2,8;3,23;2,64
NASHVILLE, TN;3,97;3,69;4,87;3,93;5,07;4,08;3,77;3,28;3,59;2,87;4,45;4,54
NEW ORLEANS, LA;5,87;5,47;5,24;5,02;4,62;6,83;6,2;6,15;5,55;3,05;5,09;5,07
NEW YORK (JFK AP), NY;3,62;2,7;3,78;3,75;4,13;3,59;3,92;3,64;3,5;3,03;3,48;3,31
NEW YORK (LAGUARDIA AP), NY;3,56;2,75;3,93;3,68;4,16;3,57;4,41;4,09;3,77;3,26;3,67;3,51
NEW YORK C.PARK, NY;4,13;3,15;4,37;4,28;4,69;3,84;4,62;4,22;4,23;3,85;4,36;3,95
NEWARK, NJ;3,98;2,96;4,21;3,92;4,46;3,4;4,68;4,02;4,01;3,16;3,88;3,57
NOME, AK;0,92;0,75;0,6;0,65;0,74;1,14;2,15;3,23;2,51;1,58;1,28;1,01
NORFOLK, NE;0,57;0,76;1,97;2,59;3,92;4,25;3,74;2,8;2,25;1,72;1,44;0,65
NORTH LITTLE ROCK, AR;3,37;3,27;4,88;5,03;5,4;3,51;3,15;2,97;3,53;3,81;5,74;4,53
NORTH PLATTE, NE;0,39;0,51;1,24;1,97;3,34;3,17;3,17;2,15;1,32;1,24;0,76;0,4
OAK RIDGE,TN;5,13;4,5;5,72;4,32;5,14;4,64;5,16;3,39;3,75;3,02;4,86;5,42
OKLAHOMA CITY, OK;1,28;1,56;2,9;3;5,44;4,63;2,94;2,48;3,98;3,64;2,11;1,89
OLYMPIA, WA;7,54;6,17;5,29;3,58;2,27;1,78;0,82;1,1;2,03;4,19;8,13;7,89
OMAHA (NORTH), NE;0,76;0,77;2,25;3,07;4,57;3,84;3,75;2,93;3,03;2,49;1,67;0,95
OMAHA EPPLEY AP, NE;0,77;0,8;2,13;2,94;4,44;3,95;3,86;3,21;3,17;2,21;1,82;0,92
ORLANDO, FL;2,43;2,35;3,54;2,42;3,74;7,35;7,15;6,25;5,76;2,73;2,32;2,31
PADUCAH, KY;3,47;3,93;4,27;4,95;4,75;4,51;4,45;2,99;3,56;3,45;4,53;4,38
PAGO PAGO, PC;14,02;12,14;11,15;11,16;10,43;5,94;5,76;6,43;7,36;10,03;11,16;13,38
PENDLETON, OR;1,45;1,22;1,26;1,13;1,22;0,78;0,41;0,56;0,63;0,99;1,63;1,48
PENSACOLA, FL;5,34;4,68;6,4;3,89;4,4;6,39;8,02;6,85;5,75;4,13;4,46;3,97
PEORIA, IL;1,5;1,67;2,83;3,56;4,17;3,84;4,02;3,16;3,12;2,76;2,99;2,4
PHILADELPHIA, PA;3,52;2,74;3,81;3,49;3,88;3,29;4,39;3,82;3,88;2,75;3,16;3,31
PHOENIX, AZ;0,83;0,77;1,07;0,25;0,16;0,09;0,99;0,94;0,75;0,79;0,73;0,92
PITTSBURGH, PA;2,7;2,37;3,17;3,01;3,8;4,12;3,96;3,38;3,21;2,25;3,02;2,86
POCATELLO, ID;1,14;1,01;1,38;1,18;1,51;0,91;0,7;0,66;0,89;0,97;1,13;1,1
POHNPEI, PC;12,52;9,78;13,96;16,94;19,41;17,06;16,72;16,37;14,94;16,3;14,74;15,87
PORT ARTHUR, TX;5,69;3,35;3,75;3,84;5,83;6,58;5,23;4,85;6,1;4,67;4,75;5,25
PORTLAND, ME;4,09;3,14;4,14;4,26;3,82;3,28;3,32;3,05;3,37;4,4;4,72;4,24
PROVIDENCE, RI;4,37;3,45;4,43;4,16;3,66;3,38;3,17;3,9;3,7;3,69;4,4;4,14
PUEBLO, CO;0,33;0,26;0,97;1,25;1,49;1,33;2,04;2,27;0,84;0,64;0,58;0,39
QUILLAYUTE, WA;13,65;12,35;10,98;7,44;5,51;3,5;2,34;2,67;4,15;9,81;14,82;14,5
RALEIGH, NC;4,02;3,47;4,03;2,8;3,79;3,42;4,29;3,78;4,26;3,18;2,97;3,04
RAPID CITY, SD;0,37;0,46;1,03;1,86;2,96;2,83;2,03;1,61;1,1;1,37;0,61;0,4
REDDING, CA;6,5;5,49;5,15;2,4;1,66;0,69;0,05;0,22;0,48;2,18;4,03;4,67
RENO, NV;1,06;1,06;0,86;0,35;0,62;0,47;0,24;0,27;0,45;0,42;0,8;0,88
RICHMOND, VA;3,55;2,98;4,09;3,18;3,95;3,54;4,67;4,18;3,98;3,6;3,06;3,12
ROANOKE, VA;3,23;3,08;3,84;3,61;4,24;3,68;4;3,74;3,85;3,15;3,21;2,86
ROCHESTER, MN;0,94;0,75;1,88;3,01;3,53;4;4,61;4,33;3,12;2,2;2,01;1,02
ROCKFORD, IL;1,41;1,34;2,39;3,62;4,02;4,8;4,1;4,21;3,47;2,57;2,63;2,06
ROSWELL, NM;0,39;0,41;0,35;0,58;1,3;1,62;1,99;2,31;1,98;1,29;0,53;0,59
SACRAMENTO, CA;3,84;3,54;2,8;1,02;0,53;0,2;0,05;0,06;0,36;0,89;2,19;2,45
SAINT CLOUD, MN;0,76;0,59;1,5;2,13;2,97;4,51;3,34;3,93;2,93;2,24;1,54;0,69
SALEM, OR;5,84;5,09;4,17;2,76;2,13;1,45;0,57;0,68;1,43;3,03;6,39;6,46
SALT LAKE CITY, UT;1,37;1,33;1,91;2,02;2,09;0,77;0,72;0,76;1,33;1,57;1,4;1,23
SAN ANGELO, TX;0,81;1,18;0,99;1,6;3,09;2,52;1,1;2,05;2,95;2,57;1,1;0,94
SAN ANTONIO, TX;1,66;1,75;1,89;2,6;4,72;4,3;2,03;2,57;3;3,86;2,58;1,96
SAN DIEGO, CA;2,28;2,04;2,26;0,75;0,2;0,09;0,03;0,09;0,21;0,44;1,07;1,31
SAN FRANCISCO AP, CA;4,45;4,01;3,26;1,17;0,38;0,11;0,03;0,07;0,2;1,04;2,49;2,89
SAN FRANCISCO C.O., CA;4,72;4,15;3,4;1,25;0,54;0,13;0,04;0,09;0,28;1,19;3,31;3,18
SAN JUAN, PR;3,02;2,3;2,14;3,71;5,29;3,52;4,16;5,22;5,6;5,06;6,17;4,57
SANTA BARBARA, CA;3,57;4,28;3,51;0,63;0,23;0,05;0,03;0,11;0,42;0,52;1,32;2,26
SANTA MARIA, CA;2,64;3,23;2,94;0,91;0,32;0,05;0,03;0,05;0,31;0,45;1,24;1,84
SAULT STE. MARIE, MI;2,64;1,6;2,41;2,57;2,5;3;3,14;3,47;3,71;3,32;3,4;2,91
SAVANNAH, GA;3,95;2,92;3,64;3,32;3,61;5,49;6,04;7,2;5,08;3,12;2,4;2,81
SCOTTSBLUFF, NE;0,54;0,58;1,16;1,79;2,7;2,65;2,13;1,19;1,22;1,01;0,8;0,56
SEATTLE C.O., WA;5,24;4,09;3,92;2,75;2,03;1,55;0,93;1,16;1,61;3,24;5,67;6,06
SEATTLE SEA-TAC AP, WA;5,13;4,18;3,75;2,59;1,77;1,49;0,79;1,02;1,63;3,19;5,9;5,62
SEXTON SUMMIT, OR;4,71;4,29;3,92;2,38;1,35;0,94;0,35;0,61;1,2;2,93;5,32;5,18
SHERIDAN, WY;0,77;0,57;1;1,77;2,41;2,02;1,11;0,8;1,38;1,41;0,8;0,68
SHREVEPORT, LA;4,6;4,21;4,18;4,42;5,25;5,05;3,99;2,71;3,21;4,45;4,68;4,55
SIOUX CITY, IA;0,59;0,62;2;2,75;3,75;3,61;3,3;2,9;2,42;1,99;1,4;0,66
SIOUX FALLS, SD;0,51;0,51;1,81;2,65;3,39;3,49;2,93;3,01;2,58;1,93;1,36;0,52
SOUTH BEND, IN;2,27;1,98;2,89;3,62;3,5;4,19;3,73;3,98;3,79;3,27;3,39;3,09
SPOKANE, WA;1,82;1,51;1,53;1,28;1,6;1,18;0,76;0,68;0,76;1,06;2,24;2,25
SPRINGFIELD, IL;1,62;1,8;3,15;3,36;4,06;3,77;3,53;3,41;2,83;2,62;2,87;2,54
ST. LOUIS, MO;2,14;2,28;3,6;3,69;4,11;3,76;3,9;2,98;2,96;2,76;3,71;2,86
ST. PAUL ISLAND, AK;1,74;1,25;1,12;1,12;1,21;1,41;1,91;2,96;2,79;2,7;2,87;2,13
STOCKTON, CA;2,71;2,46;2,28;0,96;0,5;0,09;0,05;0,05;0,33;0,82;1,77;1,82
SYRACUSE, NY;2,6;2,12;3,02;3,39;3,39;3,71;4,02;3,56;4,15;3,2;3,77;3,12
TALKEETNA, AK;1,45;1,28;1,26;1,22;1,64;2,41;3,24;4,53;4,35;3,06;1,78;1,96
TALLAHASSEE, FL;5,36;4,63;6,47;3,59;4,95;6,92;8,04;7,03;5,01;3,25;3,86;4,1
TAMPA, FL;2,27;2,67;2,84;1,8;2,85;5,5;6,49;7,6;6,54;2,29;1,62;2,3
TOLEDO, OH;1,93;1,88;2,62;3,24;3,14;3,8;2,8;3,19;2,84;2,35;2,78;2,64
TOPEKA, KS;0,95;1,18;2,56;3,14;4,86;4,88;3,83;3,81;3,71;2,99;2,31;1,42
TUCSON, AZ;0,99;0,88;0,81;0,28;0,24;0,24;2,07;2,3;1,45;1,21;0,67;1,03
TULSA, OK;1,6;1,95;3,57;3,95;6,11;4,72;2,96;2,85;4,76;4,05;3,47;2,43
TUPELO, MS;5,14;4,68;6,3;4,94;5,8;4,82;3,65;2,67;3,35;3,38;5,01;6,12
UNALAKLEET, AK;0,4;0,31;0,39;0,35;0,55;1,25;2,15;2,92;2,1;0,89;0,66;0,47
VALDEZ, AK;6,02;5,53;4,49;3,55;3,08;3,01;3,84;6,62;9,59;8,58;5,51;7,59
VALENTINE, NE;0,3;0,48;1,11;1,97;3,2;3,01;3,37;2,2;1,61;1,22;0,72;0,33
VERO BEACH, FL;2,89;2,45;4,2;2,88;3,8;6,03;6,53;6,04;6,84;5,04;3,04;2,19
VICTORIA, TX;2,44;2,04;2,25;2,97;5,12;4,96;2,9;3,05;5;4,26;2,64;2,47
WACO, TX;1,9;2,43;2,48;2,99;4,46;3,08;2,23;1,85;2,88;3,67;2,61;2,76
WAKE ISLAND, PC;1,4;1,89;2,38;2,11;1,7;1,95;3,44;5,62;4,82;4,27;2,78;1,87
WASHINGTON DULLES AP, D.C.;3,05;2,77;3,55;3,22;4,22;4,07;3,57;3,78;3,82;3,37;3,31;3,07
WASHINGTON NAT'L AP, D.C.;3,21;2,63;3,6;2,77;3,82;3,13;3,66;3,44;3,79;3,22;3,03;3,05
WATERLOO, IA;0,84;1,05;2,13;3,23;4,15;4,82;4,2;4,08;2,95;2,49;2,1;1,11
WEST PALM BEACH, FL;3,75;2,55;3,68;3,57;5,39;7,58;5,97;6,65;8,1;5,46;5,55;3,14
WICHITA FALLS, TX;1,12;1,57;2,27;2,62;3,92;3,69;1,58;2,38;3,19;3,11;1,68;1,68
WICHITA, KS;0,84;1,02;2,71;2,57;4,16;4,25;3,31;2,94;2,96;2,45;1,82;1,35
WILLIAMSPORT, PA;2,85;2,61;3,21;3,49;3,79;4,45;4,08;3,38;3,98;3,19;3,62;2,94
WILLISTON, ND;0,54;0,39;0,74;1,05;1,88;2,36;2,28;1,48;1,35;0,87;0,65;0,57
WILMINGTON, DE;3,43;2,81;3,97;3,39;4,15;3,59;4,28;3,51;4,01;3,08;3,19;3,4
WINNEMUCCA, NV;0,83;0,62;0,86;0,85;1,06;0,69;0,27;0,35;0,53;0,66;0,8;0,81
WINSLOW, AZ;0,46;0,53;0,61;0,27;0,36;0,3;1,18;1,31;1,02;0,9;0,55;0,54
WORCESTER, MA;4,07;3,1;4,23;3,92;4,35;4,02;4,19;4,09;4,27;4,67;4,34;3,8
YAKIMA, WA;1,17;0,8;0,7;0,53;0,51;0,62;0,22;0,36;0,39;0,53;1,05;1,38
YAKUTAT, AK;13,18;10,99;11,41;10,8;9,78;7,17;7,88;13,27;20,88;24;15,17;15,85
YAP, PC;7,24;5,45;6,14;5,58;8,15;13,46;13,25;14,41;13,53;12,25;8,82;9,34
YOUNGSTOWN, OH;2,34;2,03;3,05;3,33;3,45;3,91;4,1;3,43;3,89;2,46;3,07;2,96
YUMA, AZ;0,38;0,28;0,27;0,09;0,05;0,02;0,23;0,61;0,26;0,26;0,14;0,42